"TF" "Target" "Score" "Likelihood"
"NFIL3" "SLED1" "0.625183009554501" "0.0009990009990009"
"NFIL3" "MIR3945" "0.644359476816406" "0.001998001998002"
"MEF2C" "TRAM2" "0.600865450348355" "0.02997002997003"
"MEF2C" "SCNN1A" "-0.577281039416003" "0.012987012987013"
"MEF2C" "LAMA4" "0.645673598811801" "0.004995004995005"
"MEF2C" "CD34" "0.585898144708791" "0.0099900099900099"
"PPARG" "CSTB" "0.719233709967015" "0.0009990009990009"
"PPARG" "LRPAP1" "0.685440601339098" "0.0759240759240759"
"PPARG" "IL16" "-0.600902841380264" "0.003996003996004"
"PPARG" "LST1" "0.624092335630055" "0.010989010989011"
"POU2F1" "TNRC6B" "0.708486919271241" "0.033966033966034"
"HOXA2" "RIN3" "-0.587800181583354" "0.018981018981019"
"HOXA2" "TSC22D3" "-0.660493660462119" "0.0009990009990009"
"CUX1" "NEDD4L" "0.611860140785921" "0.023976023976024"
"CUX1" "ATP11A" "0.719558730006981" "0.252747252747253"
"CUX1" "SCNN1A" "0.573426863557996" "0.0089910089910089"
"CUX1" "ANXA11" "0.559833772263101" "0.0009990009990009"
"CUX1" "MDC1" "0.695686814460679" "0.0009990009990009"
"CUX1" "EGFR" "0.586293437196664" "0.0839160839160839"
"GABPA" "PITPNM1" "-0.542984289960865" "0.018981018981019"
"GABPA" "QKI" "0.632640100715377" "0.045954045954046"
"GABPA" "TBL1XR1" "0.792950687741412" "0.64035964035964"
"GABPA" "ARHGAP19" "0.647864195129283" "0.303696303696304"
"HSF4" "IZUMO4" "0.561987960799942" "0.0559440559440559"
"IRF3" "IZUMO4" "0.59353002108822" "0.100899100899101"
"IRF3" "POLM" "0.586506755276718" "0.001998001998002"
"IRF3" "RHOF" "0.53926564992077" "0.0919080919080919"
"IRF3" "TRIM41" "0.619878598253849" "0.030969030969031"
"IRF3" "PYGO2" "0.568279472357903" "0.0009990009990009"
"IRF3" "TP53I13" "0.563662582948858" "0.010989010989011"
"IRF3" "RAB4B" "0.578945445870048" "0.043956043956044"
"IRF3" "RPS6KB2" "0.56946749669593" "0.001998001998002"
"IRF3" "PARP10" "0.685225174357536" "0.31968031968032"
"IRF3" "LCN12" "0.564485107723008" "0.562437562437562"
